FIX_CCTV_ADDR,LAT,LOT,CGG_CD,CRDN_BRNCH_NM,GRNDS_SE
홍지동 99-3,37.599704,126.959064,종로구,세검정유치원 주변(어린이17) ,불법주정차구역
홍지동 56,37.600788,126.956861,종로구,상명사대부속초등학교 주변(어린이18) ,불법주정차구역
신교동 1-1,37.584074,126.968901,종로구,서울농학교 주변(어린이19) ,불법주정차구역
사직동 284-1,37.574546,126.964512,종로구,수도사랑의학교 주변(어린이20) ,불법주정차구역
계동 115-1,37.579366,126.986666,종로구,재동초교(북촌로4길 27) 주변(어린이21) ,불법주정차구역
신영동 218-5,37.602735,126.960755,종로구,세검정초교(정문) 주변(어린이22) ,불법주정차구역
신영동 222,37.603958,126.961269,종로구,세검정초교(후문) 주변(어린이23) ,불법주정차구역
사직동 1-43,37.57692,126.967844,종로구,매동초교(정문) 주변(어린이24),불법주정차구역
필운동 108,37.577185,126.969199,종로구,매동초교(필운대로) 주변(어린이25) ,불법주정차구역
명륜1가 27-57,37.589234,126.997408,종로구,혜화초교(명륜파출소) 주변(어린이26) ,불법주정차구역
창신동 99,37.574683,127.013793,종로구,창신초교(장난감도서관) 주변(어린이27) ,불법주정차구역
청운동 52-4,37.586269,126.968635,종로구,청운초교(후문)  주변(어린이28) ,불법주정차구역
효제동 105-5,37.574305,127.00332,종로구,효제초교(율곡로14길) 주변(어린이29) ,불법주정차구역
명륜3가 1-924,37.591126,126.995144,종로구,명륜어린이집 주변(어린이30) ,불법주정차구역
구기동 151,37.611546,126.95634,종로구,하비에르국제학교 주변(어린이32),불법주정차구역
신교동 2-128,37.583757,126.967316,종로구,서울맹학교 주변(어린이33) ,불법주정차구역
내자동 169,37.574936,126.970238,종로구,세종유치원 주변(어린이34) ,불법주정차구역
부암동 384-4,37.598687,126.960875,종로구,창의문교회(자하문로287) 주변,불법주정차구역
신영동 105-12,37.601661,126.962604,종로구,부암어린이집 주변(어린이36) ,불법주정차구역
숭인동 178-167,37.574975,127.019838,종로구,한빛어린이집 주변(어린이37) ,불법주정차구역
옥인동 149-1,37.580694,126.967469,종로구,누상어린이집 주변(어린이38) ,불법주정차구역
가회동30-2,37.581691,126.984999,종로구,가회동성당 주변,불법주정차구역
세종로 81-3,37.571736,126.975468,종로구,광화문역 5호선 8번출구 주변,불법주정차구역
신문로1가163,37.569537,126.974443,종로구,광화문오피시아빌딩 주변,불법주정차구역
경운동 63-10,37.574267,126.987055,종로구,교동초교(삼일대로) 주변,불법주정차구역
경운동 88,37.575367,126.986563,종로구,수운회관 주변,불법주정차구역
낙원동 288,37.571041,126.987806,종로구,종로2가 낙원상가 주변,불법주정차구역
낙원동 237-2,37.57267981056417,126.98870694181922,종로구,종로3가역 5호선 5번출구 주변,불법주정차구역
낙원동 210,37.571491,126.989158,종로구,송해길(수표로) 주변,불법주정차구역
관수동 15,37.569292,126.989556,종로구,세종주차장 주변,불법주정차구역
종로구 효자동 150,37.58294195997111,126.97353175608467,종로구,청와대 사랑채 주변,불법주정차구역
필운동 142,37.576275,126.969346,종로구,사직동 새마을금고 주변,불법주정차구역
종로6가264-1,37.570867,127.006829,종로구,IBK기업은행 종로6가지점 주변,불법주정차구역
사직동 9,37.574719,126.970242,종로구,광화문풍림스페이스본1단지 주변,불법주정차구역
무악동 45-20,37.574786,126.958525,종로구,무악현대아파트 주변,불법주정차구역
종로구 숭인동 1396,37.5730700174211,127.02313100918214,종로구,난계로 27길 주변,불법주정차구역
신영동 16,37.604895,126.961184,종로구,국민은행 세검정지점 주변,불법주정차구역
종로구 효자동 150,37.583651317700586,126.97276446628122,종로구,청와대 분수대 주변,불법주정차구역
체부동 45-1,37.577275,126.972047,종로구,경복궁역2번출구(자하문로13-1) 주변,불법주정차구역
통인동 156-2,37.578599,126.971495,종로구,우리은행 효자동지점 주변,불법주정차구역
옥인동 18,37.582454,126.970463,종로구,옥인교회(통인시장~신교동R) 주변,불법주정차구역
청운동 50-31,37.586539,126.969656,종로구,청운초교 주변,불법주정차구역
종로구 효자동 178-2,37.58176154777055,126.97304252699466,종로구,청와대 사랑채 주차장 주변,불법주정차구역
부암동 237-26,37.593047,126.965849,종로구,계열사 주변,불법주정차구역
평창동 158-1,37.60649,126.969103,종로구,글로리아타운 주변,불법주정차구역
평창동 230-3,37.605652,126.967231,종로구,종로구치매지원센터 주변,불법주정차구역
종로구 청운동 3-100,37.5922994700904,126.9673376393209,종로구,윤동주문학관(자하문고개) 주변,불법주정차구역
가회동 210,37.579201,126.985468,종로구,재동초교 주변,불법주정차구역
소격동 144-2,37.579527,126.982146,종로구,정독도서관 주변,불법주정차구역
청진동 45-2,37.572121,126.981492,종로구,두산위브파빌리온 주변,불법주정차구역
관훈동 168,37.574387,126.984272,종로구,북인사마당 주변,불법주정차구역
관훈동 37,37.573954,126.985022,종로구,수도온누리약국 주변,불법주정차구역
인사동 179-2,37.572939,126.986203,종로구,인사동길새마을금고 본점 주변,불법주정차구역
인사동 137-2,37.571741,126.986947,종로구,남인사마당 주변,불법주정차구역
묘동 121,37.573543,126.991329,종로구,삼화페인트 주변,불법주정차구역
묘동 70-1,37.571712,126.991921,종로구,청룡귀금속 주변,불법주정차구역
관수동 68,37.569306,126.992144,종로구,구 서울극장(돈화문로 9) 주변,불법주정차구역
충신동 179-10,37.573646,127.005786,종로구,충신시장입구 교차로(김상옥로) 주변,불법주정차구역
효제동 273,37.573364,127.003683,종로구,효제초교 후문 주변,불법주정차구역
명륜2가 142-2,37.584326,126.997443,종로구,성대정문 주변,불법주정차구역
종로3가 115,37.570144,126.990433,종로구,종로3가역 1호선 15번출구 주변,불법주정차구역
종로3가 37-7,37.570618,126.993308,종로구,종로3가역 1호선 11번출구 주변,불법주정차구역
종로3가 163,37.570313,126.994086,종로구,종묘광장공원 주변,불법주정차구역
종로5가 138-8,37.570772,127.000633,종로구,광장시장 북문 보령약국 주변,불법주정차구역
종로5가 193-1,37.570864,127.003371,종로구,종로5가백화점약국 주변,불법주정차구역
종로구 신문로2가 170,37.5687048680778,126.969324018998,종로구,돈의문박물관마을(새문안로) 주변,불법주정차구역
창신동465 ,37.571567,127.010944,종로구,동대문역 1호선 1번출구 주변,불법주정차구역
창신동 457-3,37.571653,127.01308,종로구,문구완구골목(우일완구) 주변,불법주정차구역
창신동 455-15,37.571459,127.014138,종로구,문구완구골목(승진완구) 주변,불법주정차구역
창신동 81-2,37.574349,127.015563,종로구,동묘앞역 롯데캐슬천지인 주변,불법주정차구역
창신동 393-18,37.570949,127.015626,종로구,창신제1동주민센터 주변,불법주정차구역
