address,latitude,longitude,organization,purpose
동숭동 1-61,37.581777,127.002874,종로구,불법주정차구역
동숭동 1-57,37.582556,127.002353,종로구,불법주정차구역
공평동 1,37.572257,126.984345,종로구,불법주정차구역
삼청동 28-6,37.586893,126.983521,종로구,불법주정차구역
동숭동 1-27,37.581843,127.002123,종로구,불법주정차구역
신문로1가 7-5,37.570764,126.975918,종로구,불법주정차구역
삼청동 71,37.585041,126.982137,종로구,불법주정차구역
이화동 149,37.576877,127.002369,종로구,불법주정차구역
연건동 32-2,37.57958,127.001976,종로구,불법주정차구역
혜화동 90-7,37.585467,127.001626,종로구,불법주정차구역
명륜4가 1,37.583398,127.001508,종로구,불법주정차구역
혜화동 1-1,37.591979,126.999239,종로구,불법주정차구역
혜화동 9-11,37.589879,126.999286,종로구,불법주정차구역
동숭동 1-38,37.5835,127.002609,종로구,불법주정차구역
동숭동 1-83,37.582667,127.003884,종로구,불법주정차구역
묘동 175,37.572498,126.991473,종로구,불법주정차구역
청진동 19,37.57142,126.980701,종로구,불법주정차구역
종로구 통의동 1-1,37.57927720131684,126.9736802256702,종로구,불법주정차구역
충신동 52-2,37.575756,127.005021,종로구,불법주정차구역
명륜2가 231,37.583035,126.998637,종로구,불법주정차구역
신문로1가 135-2,37.569998,126.975498,종로구,불법주정차구역
창신동 352-1,37.572226,127.013539,종로구,불법주정차구역
사직동 228,37.574936,126.967743,종로구,불법주정차구역
평창동 산 6-17,37.601895,126.981581,종로구,불법주정차구역
숭인동 76,37.573905,127.015756,종로구,불법주정차구역
청운동 89-143,37.58837,126.972291,종로구,불법주정차구역
종로구 청운동 15-19,37.590842756121326,126.96974151752352,종로구,불법주정차구역
부암동 329-24,37.59168,126.963659,종로구,불법주정차구역
부암동 278-5,37.593134,126.963797,종로구,불법주정차구역
부암동 203-4,37.595275,126.963561,종로구,불법주정차구역
명륜4가 80-1,37.582096,127.00007,종로구,불법주정차구역
창신동 237,37.57424,127.015158,종로구,불법주정차구역
창신동 82,37.574923,127.014778,종로구,불법주정차구역
동숭동129,37.581284,127.004599,종로구,불법주정차구역
가회동 208-7,37.580071,126.985109,종로구,불법주정차구역
종로6가 210-1,37.573627,127.006691,종로구,불법주정차구역
창신동 산 6-25,37.578408,127.01472,종로구,불법주정차구역
창신동 23-330,37.578836,127.010898,종로구,불법주정차구역
창신동 7-40,37.581338,127.013139,종로구,불법주정차구역
창신동 7-40,37.582172,127.01465,종로구,불법주정차구역
숭인동 26-10,37.579708,127.017096,종로구,불법주정차구역
동숭동 50-135,37.58032961239477,127.00653652077214,종로구,불법주정차구역
혜화동 15-139,37.589438,127.001478,종로구,불법주정차구역
연지동 136-25,37.574144,127.001246,종로구,불법주정차구역
혜화동 58-2,37.586262,127.002023,종로구,불법주정차구역
경운동 2,37.575196,126.987028,종로구,불법주정차구역
종로구 예지동 197-3,37.5696952473655,126.998055084995,종로구,불법주정차구역
통의동 91-43,37.579399,126.972013,종로구,불법주정차구역
궁정동 4-11,37.585046,126.97106,종로구,불법주정차구역
홍지동 99-3,37.599704,126.959064,종로구,불법주정차구역
홍지동 56,37.600788,126.956861,종로구,불법주정차구역
신교동 1-1,37.584074,126.968901,종로구,불법주정차구역
사직동 284-1,37.574546,126.964512,종로구,불법주정차구역
계동 115-1,37.579366,126.986666,종로구,불법주정차구역
신영동 218-5,37.602735,126.960755,종로구,불법주정차구역
신영동 222,37.603958,126.961269,종로구,불법주정차구역
사직동 1-43,37.57692,126.967844,종로구,불법주정차구역
필운동 108,37.577185,126.969199,종로구,불법주정차구역
명륜1가 27-57,37.589234,126.997408,종로구,불법주정차구역
창신동 99,37.574683,127.013793,종로구,불법주정차구역
청운동 52-4,37.586269,126.968635,종로구,불법주정차구역
효제동 105-5,37.574305,127.00332,종로구,불법주정차구역
명륜3가 1-924,37.591126,126.995144,종로구,불법주정차구역
구기동 151,37.611546,126.95634,종로구,불법주정차구역
신교동 2-128,37.583757,126.967316,종로구,불법주정차구역
내자동 169,37.574936,126.970238,종로구,불법주정차구역
부암동 384-4,37.598687,126.960875,종로구,불법주정차구역
신영동 105-12,37.601661,126.962604,종로구,불법주정차구역
숭인동 178-167,37.574975,127.019838,종로구,불법주정차구역
옥인동 149-1,37.580694,126.967469,종로구,불법주정차구역
가회동30-2,37.581691,126.984999,종로구,불법주정차구역
세종로 81-3,37.571736,126.975468,종로구,불법주정차구역
신문로1가163,37.569537,126.974443,종로구,불법주정차구역
경운동 63-10,37.574267,126.987055,종로구,불법주정차구역
경운동 88,37.575367,126.986563,종로구,불법주정차구역
낙원동 288,37.571041,126.987806,종로구,불법주정차구역
낙원동 237-2,37.57267981056417,126.98870694181922,종로구,불법주정차구역
낙원동 210,37.571491,126.989158,종로구,불법주정차구역
관수동 15,37.569292,126.989556,종로구,불법주정차구역
종로구 효자동 150,37.58294195997111,126.97353175608468,종로구,불법주정차구역
필운동 142,37.576275,126.969346,종로구,불법주정차구역
종로6가264-1,37.570867,127.006829,종로구,불법주정차구역
사직동 9,37.574719,126.970242,종로구,불법주정차구역
무악동 45-20,37.574786,126.958525,종로구,불법주정차구역
종로구 숭인동 1396,37.5730700174211,127.02313100918214,종로구,불법주정차구역
신영동 16,37.604895,126.961184,종로구,불법주정차구역
종로구 효자동 150,37.583651317700586,126.97276446628122,종로구,불법주정차구역
체부동 45-1,37.577275,126.972047,종로구,불법주정차구역
통인동 156-2,37.578599,126.971495,종로구,불법주정차구역
옥인동 18,37.582454,126.970463,종로구,불법주정차구역
청운동 50-31,37.586539,126.969656,종로구,불법주정차구역
종로구 효자동 178-2,37.58176154777055,126.97304252699466,종로구,불법주정차구역
부암동 237-26,37.593047,126.965849,종로구,불법주정차구역
평창동 158-1,37.60649,126.969103,종로구,불법주정차구역
평창동 230-3,37.605652,126.967231,종로구,불법주정차구역
