address,latitude,longitude,organization,purpose
종로구 청운동 3-100,37.5922994700904,126.9673376393209,종로구,불법주정차구역
가회동 210,37.579201,126.985468,종로구,불법주정차구역
소격동 144-2,37.579527,126.982146,종로구,불법주정차구역
청진동 45-2,37.572121,126.981492,종로구,불법주정차구역
관훈동 168,37.574387,126.984272,종로구,불법주정차구역
관훈동 37,37.573954,126.985022,종로구,불법주정차구역
인사동 179-2,37.572939,126.986203,종로구,불법주정차구역
인사동 137-2,37.571741,126.986947,종로구,불법주정차구역
묘동 121,37.573543,126.991329,종로구,불법주정차구역
묘동 70-1,37.571712,126.991921,종로구,불법주정차구역
관수동 68,37.569306,126.992144,종로구,불법주정차구역
충신동 179-10,37.573646,127.005786,종로구,불법주정차구역
효제동 273,37.573364,127.003683,종로구,불법주정차구역
명륜2가 142-2,37.584326,126.997443,종로구,불법주정차구역
종로3가 115,37.570144,126.990433,종로구,불법주정차구역
종로3가 37-7,37.570618,126.993308,종로구,불법주정차구역
종로3가 163,37.570313,126.994086,종로구,불법주정차구역
종로5가 138-8,37.570772,127.000633,종로구,불법주정차구역
종로5가 193-1,37.570864,127.003371,종로구,불법주정차구역
종로구 신문로2가 170,37.5687048680778,126.969324018998,종로구,불법주정차구역
창신동465 ,37.571567,127.010944,종로구,불법주정차구역
창신동 457-3,37.571653,127.01308,종로구,불법주정차구역
창신동 455-15,37.571459,127.014138,종로구,불법주정차구역
창신동 81-2,37.574349,127.015563,종로구,불법주정차구역
창신동 393-18,37.570949,127.015626,종로구,불법주정차구역
숭인동 61-66,37.576186,127.015656,종로구,불법주정차구역
숭인동 316-1,37.571887,127.01586,종로구,불법주정차구역
종로구 사간동 70,37.5778976166451,126.9797005108794,종로구,불법주정차구역
동숭동 1-111,37.580814,127.003334,종로구,불법주정차구역
종로구 봉익동 60,37.571613,126.993791,종로구,불법주정차구역
종로구 청운동 30-15,37.58840298308305,126.96845742150404,종로구,불법주정차구역
종로구 혜화동 111-3,37.585924,127.00102,종로구,불법주정차구역
종로구 혜화동 74-30,37.58655,127.000312,종로구,불법주정차구역
종로구 무악동 46-82,37.573834,126.960538,종로구,불법주정차구역
주변,37.59047439470533,126.9653513140992,종로구,불법주정차구역
주변,37.58944724946311,126.9653036697107,종로구,불법주정차구역
종로구 낙원동 1,37.5742227450528,126.987616519226,종로구,불법주정차구역
종로구 내수동 110,37.573411140439,126.971166578184,종로구,불법주정차구역
종로구 혜화동 13-1,37.588391,126.999717,종로구,불법주정차구역
종로구 신문로2가 108-1,37.5687030064764,126.97198395166,종로구,불법주정차구역
종로구 창신동 618-1,37.578781,127.008671,종로구,불법주정차구역
종로구 행촌동 1-69,37.572879,126.965194,종로구,불법주정차구역
종로구 숭인동 753,37.576939,127.022001,종로구,불법주정차구역
종로구 교남동 7,37.5674151698227,126.965676387192,종로구,불법주정차구역
종로구 창신동 670,37.57227,127.009597,종로구,불법주정차구역
종로구 익선동 34,37.574145,126.988952,종로구,불법주정차구역
종로구 창신동 567,37.572203,127.010709,종로구,불법주정차구역
종로구 계동 142-1,37.57848202416712,126.98685794147916,종로구,불법주정차구역
종로구 명륜2가 113,37.5846828301961,126.99766035822,종로구,불법주정차구역
종로구 종로5가 467,37.56986235924587,127.0055168494243,종로구,불법주정차구역
종로구 무악동 66-3,37.575708,126.957199,종로구,불법주정차구역
종로구 부암동 48-35,37.59317321494262,126.96656162880076,종로구,불법주정차구역
종로구 숭인동 232-29,37.571355,127.019049,종로구,불법주정차구역
종로구 종로6가 146-1,37.571951,127.006676,종로구,불법주정차구역
종로구 숭인동 204-2,37.57219628080437,127.02193366273538,종로구,불법주정차구역
종로구 동숭동 31-19,37.580228346805015,127.00447324403171,종로구,불법주정차구역
종로구 예지동 189-8,37.56915969847825,126.99823558691784,종로구,불법주정차구역
종로구 서린동 127,37.569288576007295,126.97949909779044,종로구,불법주정차구역
종로구 종로5가 332-16,37.56985345331272,127.00242379121356,종로구,불법주정차구역
종로구 숭인동 269,37.5733165256316,127.01737767547397,종로구,불법주정차구역
종로구 당주동 44-4,37.57158,126.974771,종로구,불법주정차구역
종로구 이화동 186-3,37.57687218065823,127.003360796499,종로구,불법주정차구역
종로구 관철동 11-14,37.56853491941028,126.98580982281378,종로구,불법주정차구역
종로구 신문로1가 238,37.57156673689304,126.97278301722166,종로구,불법주정차구역
종로구 장사동 250-1,37.568587344428494,126.99255047009756,종로구,불법주정차구역
종로구 예지동 137-1,37.568855505247726,126.99629149394632,종로구,불법주정차구역
종로구 옥인동 산 3-1,37.5859537047415,126.964277654295,종로구,불법주정차구역
종로구 견지동 39-7,37.57449008628627,126.98272393377977,종로구,불법주정차구역
종로구 신문로2가 1-251,37.57347,126.968508,종로구,불법주정차구역
종로구 신교동 66,37.58389847202408,126.97020285491436,종로구,불법주정차구역
종로구 내수동 167,37.57308042211496,126.9728418963838,종로구,불법주정차구역
종로구 명륜2가 134,37.58487527080688,126.99713700247726,종로구,불법주정차구역
종로구 세종로 100,37.57265133291468,126.9783350523506,종로구,불법주정차구역
종로구 창신동 436-65,37.56996534716917,127.01335563306364,종로구,불법주정차구역
종로구 종로5가 398-16,37.57034901209676,127.00178991021583,종로구,불법주정차구역
종로구 창신동 651-14,37.57339616506729,127.01060830323968,종로구,불법주정차구역
종로구 원서동 181-5,37.578404,126.989143,종로구,불법주정차구역
종로구 종로6가 289-3,37.56992530086606,127.00778924894212,종로구,불법주정차구역
종로구 재동 83,37.57838273513028,126.9853324802828,종로구,불법주정차구역
종로구 익선동 30-6,37.575488,126.989187,종로구,불법주정차구역
종로구 관수동 165-1,37.56832802644032,126.98895379330033,종로구,불법주정차구역
종로구 세종로 1-58,37.57656183773006,126.97938389864422,종로구,불법주정차구역
종로구 소격동 56,37.58097907759,126.98006195265232,종로구,불법주정차구역
종로구 청진동 246,37.57120089208616,126.97923256023384,종로구,불법주정차구역
종로구 창신동 400-4,37.57051442090319,127.01744494210776,종로구,불법주정차구역
종로구 관철동 43-8,37.568814044253,126.98435523237058,종로구,불법주정차구역
종로구 관수동 124,37.56844756414928,126.99076769387284,종로구,불법주정차구역
종로구 창신동 436-78,37.570070913847,127.011954235256,종로구,불법주정차구역
종로구 평창동 166,37.60682822288515,126.9683477165383,종로구,불법주정차구역
종로구 견지동 65-1,37.57299675158026,126.98316858839,종로구,불법주정차구역
종로구 종로5가 503-15,37.56986241951743,127.00402550311048,종로구,불법주정차구역
종로구 인사동 179-2,37.57294759107515,126.98620801502108,종로구,불법주정차구역
종로구 장사동 207-1,37.56868428912589,126.9941012097961,종로구,불법주정차구역
종로구 관철동 43-4,37.56953034205031,126.9844031902812,종로구,불법주정차구역
종로구 세종로 76-14,37.57463354167246,126.9784448504396,종로구,불법주정차구역
종로구 충신동 136-16,37.57502957780987,127.00525403365224,종로구,불법주정차구역
종로구 궁정동 2-2,37.584548,126.972584,종로구,불법주정차구역
종로구 예지동 269-2,37.569533624786274,127.00006367200132,종로구,불법주정차구역
종로구 청운동 89-12,37.586221444576864,126.97295600377907,종로구,불법주정차구역
종로구 부암동 333-8,37.59148820904383,126.9660330422362,종로구,불법주정차구역
종로구 원남동 96-9,37.575669375482974,126.99755054940336,종로구,불법주정차구역
